"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"WBK",0,30-SEP-13,"7458000","","","","","","","","2756000","36264000","6313000","","","","","","28014000","9137000","807000","6313000","792000","","6313000"
"WBK",1,30-SEP-14,"7479000","","","","","","","","2726000","33815000","6616000","","","","","","25767000","9398000","771000","6616000","569000","","6616000"
"WBK",2,30-SEP-15,"6652000","","","","","","","","2351000","27858000","5626000","","","","","","20677000","8017000","574000","5626000","529000","","5626000"
"WBKC",0,31-DEC-13,"8854","","","","","","","","804","15377","1559","832","","830","","","4721","2363","","1559","140","2358","1559"
"WBKC",1,31-DEC-14,"7957","","","","","","","","1426","16289","2683","1106","","1020","","","6147","4109","","2683","59","2038","2683"
"WBKC",2,31-DEC-15,"7536","","","","","","","","1544","16839","3186","1451","","800","","","6730","4730","","3186","322","2000","3186"
"WBMD",0,31-DEC-13,"221217","","305553","","","","-6148","","13640","515293","15116","209740","","26606","57730","","51582","28756","","15116","","22826","15116"
"WBMD",1,31-DEC-14,"230279","","356355","","","","69","","30707","580449","42063","224094","","29811","96265","1122","96334","71648","","42063","","24686","40941"
"WBMD",2,31-DEC-15,"229605","","389088","","","","-5968","","35847","636399","64024","247311","","30521","128962","","122994","99871","","64024","","23123","64024"
"WCC",0,31-DEC-13,"996810","","1545450","","","","-15540","","103333","7513342","276430","5967892","","67642","480998","","465458","379851","-18","276430","","85607","263205"
"WCC",1,31-DEC-14,"1076808","","1611042","","","","","","108716","7889626","275906","6278584","","68017","466217","","466217","384153","-487","275906","","82064","275906"
