"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"BSQR",0,31-DEC-13,"15372","","15025","","","","40","","2194","92108","-5257","77083","2756","","-3103","","-3063","-3063","","-5257","","","-5257"
"BSQR",1,31-DEC-14,"12363","","16527","","","","-101","","38","95916","2345","79389","1680","","2484","","2383","2383","","2345","","","2345"
"BSQR",2,31-DEC-15,"12400","","20470","","","","132","","470","106601","6093","86131","1639","","6431","","6563","6563","","6093","","","6093"
"BSRR",0,31-DEC-13,"44815","","","","","","","","3093","68848","13369","2455","","4350","","","17228","16462","","13369","","766","13369"
"BSRR",1,31-DEC-14,"44305","","","","","","","","6191","70952","15240","2064","","350","","","22163","21431","","15240","2070","732","15240"
"BSRR",2,31-DEC-15,"50602","","","","","","","","9071","80422","18067","1785","","","","","27934","27138","","18067","101","796","18067"
"BSTC",0,31-DEC-13,"5038","","14430","","","","64","","2685","14430","5286","","1484","","7907","","7971","7971","","5286","","","5286"
"BSTC",1,31-DEC-14,"5814","","14045","","","","66","","2387","14045","4646","","1264","","6967","","7033","7033","","4646","","","4646"
"BSTC",2,31-DEC-15,"7273","","22750","","","","108","","4933","22750","9618","","1034","","14443","","14551","14551","","9618","","","9618"
"BSTG",0,31-DEC-13,"4266","","11","","","","","","","22","-8817","11","4562","","-8817","","-8817","-8817","","-8817","","","-8817"
"BSTG",1,31-DEC-14,"5983","","45","","","","-4","","","93","-11061","48","5119","","-11057","","-11061","-11061","","-11061","","","-11061"
"BSTG",2,31-DEC-15,"6894","","-21","","","","-3","","","118","-11704","139","4786","","-11701","","-11704","-11704","","-11704","","","-11704"
"BSX",0,31-DEC-13,"2678000","","4969000","","","4887000","19000","","-102000","7143000","-121000","2174000","861000","410000","120000","","101000","-223000","","-121000","938000","324000","-121000"
"BSX",1,31-DEC-14,"2817000","","5170000","","","5483000","20000","","-390000","7380000","-119000","2210000","817000","438000","-301000","","-293000","-509000","","-119000","1411000","216000","-119000"
"BSX",2,31-DEC-15,"2996000","","5304000","","","5631000","-39000","","-411000","7477000","-239000","2173000","876000","495000","-327000","","-366000","-650000","","-239000","1264000","284000","-239000"
"BT",0,31-MAR-14,"","","5243000","","","","13000","","490000","30487000","3364000","25244000","","","5243000","","5251000","3854000","","3364000","","1397000","3359000"
"BT",1,31-MAR-15,"","","5166000","","","","62000","","757000","26690000","3169000","21524000","","","5166000","","5227000","3927000","","3169000","","1300000","3168000"
"BT",2,31-MAR-16,"","","5368000","","","","53000","","634000","27369000","3720000","22001000","","","5368000","","5431000","4354000","","3720000","","1077000","3728000"
"BTE",0,31-DEC-08,"351704","","828129","","","","-30888","","-110205","828129","-222966","","","752521","-276095","","-306983","-333171","","-222966","","26188","-222966"
"BTE",1,31-DEC-09,"39537","","345790","","","","16528","","-18207","653452","83535","307662","","226276","79977","","96506","65328","","83535","","31178","83535"
"BTE",2,31-DEC-10,"48426","","495555","","","","7553","","-23698","858188","178766","362634","","272774","174355","","181908","155068","","178766","","26840","178766"
"BTG",0,31-DEC-13,"55073","","146946","","","","16252","","19802","544272","67303","397326","","","116198","","92702","87105","7716","67303","15423","5597","67303"
"BTG",1,31-DEC-14,"75340","","93868","","","","-8440","","-85065","486624","-666385","392756","","","-741298","","-745755","-751450","55253","-666385","755843","5695","-666385"
"BTG",2,31-DEC-15,"56746","","87029","","","","-33544","","1669","553656","-145113","466627","","","-96965","","-127340","-143444","8855","-145113","124079","16104","-145113"
"BTN",0,31-DEC-13,"16738","","16845","","","","871","","788","103610","163","86765","","","99","","953","951","","163","","2","138"
"BTN",1,31-DEC-14,"19975","","18160","","","","1316","","-465","95086","-4","76926","","","-1805","","-421","-469","","-4","","48","74"
"BTN",2,31-DEC-15,"22116","","17587","","","","9","","13001","92829","-17467","75242","","","-4954","","-4424","-4466","","-17467","","42","-17371"
"BTX",0,31-DEC-13,"15559","","3641","","","","-204","","-3281","4434","-43883","793","26609","","-55986","","-56191","-56191","27462","-43883","17459","","-43884"
"BTX",1,31-DEC-14,"17556","","4407","","","","-384","-87","-7376","5244","-36412","837","37533","","-50682","","-51154","-51154","26267","-36499","","","-36411"
"BTX",2,31-DEC-15,"29134","","5929","","","","3534","-415","-4516","7036","-46991","1107","42604","","-65809","","-62650","-62650","49556","-47406","","","-47026"
"BTX+",0,31-DEC-13,"15559","","3641","","","","-204","","-3281","4434","-43883","793","26609","","-55986","","-56191","-56191","27462","-43883","17459","","-43884"
"BTX+",1,31-DEC-14,"17556","","4407","","","","-384","-87","-7376","5244","-36412","837","37533","","-50682","","-51154","-51154","26267","-36499","","","-36411"
"BTX+",2,31-DEC-15,"29134","","5929","","","","3534","-415","-4516","7036","-46991","1107","42604","","-65809","","-62650","-62650","49556","-47406","","","-47026"
"BUD",0,31-DEC-13,"4958000","","25601000","","","","844000","","2016000","43195000","16518000","17594000","","","20443000","","21581000","18534000","4943000","16518000","200000","3047000","16812000"
"BUD",1,31-DEC-14,"12842000","","28307000","","","","1478000","","2499000","47063000","11302000","18756000","","","15111000","","16598000","13801000","4285000","11302000","354000","2797000","11311000"
"BUD",2,31-DEC-15,"12176000","","26467000","","","","1689000","","2594000","43604000","9867000","17137000","","","13904000","","15603000","12461000","3582000","9867000","388000","3142000","9877000"
"BUFF",0,31-DEC-13,"138986","","297612","","","","-15793","","43957","719509","78236","421897","","","158626","","142833","122193","","78236","","20640","78236"
"BUFF",1,31-DEC-14,"187864","","366867","","","","173","","63358","917760","101931","550893","","","179003","","179176","165289","","101931","","13887","101931"
"BUFF",2,31-DEC-15,"258716","","418831","","","","294","","55930","1027447","89388","608616","","","160115","","160409","145318","","89388","","15091","89388"
"BUR",0,31-MAR-13,"3498","","30","","","","84","","","30","-5450","","2067","","-5535","","-5450","-5450","","-5450","","","-5450"
"BUR",1,31-MAR-14,"3582","","86","","","","264","","","86","-5401","","2169","","-5665","","-5401","-5401","","-5401","","","-5401"
"BUR",2,31-MAR-15,"3520","","83","","","","244","","","83","-5195","","2002","","-5439","","-5195","-5195","","-5195","","","-5195"
"BURL",0,31-JAN-15,"1526281","","1948815","","","","-63594","","39081","4849634","65955","2900819","","167580","252375","","188781","105036","","65955","2579","83745","-8392"
"BURL",1,30-JAN-16,"1599333","","2070202","","","","5216","","88394","5129843","150482","3059641","","172099","292659","","297875","238876","","150482","6111","58999","149833"
"BURL",2,31-JAN-16,"1599333","","2070202","","","","5216","","88394","5129843","150482","3059641","","172099","292659","","297875","238876","","150482","6111","58999","149833"
"BUSE",0,31-DEC-13,"109179","","","","","","","-3633","14111","171279","28726","7099","","10632","","","44369","42837","","25093","","1532","28726"
"BUSE",1,31-DEC-14,"105325","","","","","","","-727","17534","167016","32774","5123","","4884","","","51684","50308","","32047","","1376","32774"
"BUSE",2,31-DEC-15,"112113","","","","","","","-700","20696","182814","39006","4756","","4792","","","61153","59702","","38306","","1451","39006"
"BV",0,30-APR-14,"112852","","115240","","","167756","-640","","-500","168145","-63166","52905","37585","1135","-52516","-10320","-53156","-53346","","-63166","16184","190","-52846"
"BV",1,30-APR-15,"108880","","121275","","","151858","-1076","","54","191181","-34421","69906","37695","1237","-30583","-1257","-31659","-33110","","-34421","4046","1451","-33164"
"BV",2,30-APR-16,"100206","","122899","","","145910","-110","","38","199766","-25339","76867","41477","1237","-23011","","-23121","-25301","","-25339","2990","2180","-25339"
"BVN",0,31-DEC-13,"92818","","340866","","","","-571","","86482","1259606","-79736","918740","","","215243","-83885","100527","90631","277307","-79736","32805","9896","4149"
"BVN",1,31-DEC-14,"114648","","226251","","","","59808","","66012","1175780","-61640","949529","","","61596","-31114","46804","35486","298020","-61640","50007","11318","-30526"
"BVN",2,31-DEC-15,"105804","","67","","","","-2657","","14766","951864","-375545","951797","","","-147602","-9523","-323634","-351256","228170","-375545","41865","27622","-366022"
"BVSN",0,31-DEC-13,"9468","","10758","","","","477","","122","15599","-5422","4841","7067","","-5777","","-5300","-5300","","-5422","","","-5422"
"BVSN",1,31-DEC-14,"9116","","9030","","","","-1927","","157","13585","-9481","4555","7311","","-7397","","-9324","-9324","","-9481","","","-9481"
"BVSN",2,31-DEC-15,"8390","","5949","","","","-1748","","29","9442","-11437","3493","7219","","-9660","","-11408","-11408","","-11437","","","-11437"
"BVX",0,31-DEC-13,"11604","","9198","","","","-2049","-2655","-1613","23660","-4339","14462","1260","","-3666","","-5715","-5952","","-6994","","237","-4339"
"BVX",1,31-DEC-14,"13425","","8992","","","","-7285","-932","3997","27681","-17282","18689","1416","","-5849","","-13134","-13285","","-18214","","151","-17282"
"BVX",2,31-DEC-15,"17383","","12557","","","","1799","13734","25","29520","-5370","16963","2160","","-6986","","-5187","-5345","","8364","","158","-5370"
"BVXV",0,31-DEC-13,"631","","","","","","45","","","","-2315","","1570","","-2201","","-2156","-2315","","-2315","","159","-2315"
"BVXV",1,31-DEC-14,"681","","","","","","101","","","","-1995","","1411","","-2092","","-1991","-1995","","-1995","","4","-1995"
"BVXV",2,31-DEC-15,"873","","","","","","290","","","","-2621","","2032","","-2905","","-2615","-2621","","-2621","","6","-2621"
"BW",0,31-DEC-14,"225271","","219033","","","","97","","-24728","1486029","-26528","1266996","18483","","-37975","-14272","-36126","-36618","1027","-26528","20183","492","-11890"
"BW",1,31-DEC-15,"239968","","308157","","","","-15194","","3671","1757295","19141","1449138","16543","","21861","2803","21264","20205","719","19141","14946","1059","16534"
"CATM",2,31-DEC-15,"140501","","417364","","","","-1133","","39342","1200301","67080","782937","","123829","139917","","124774","105323","19","67080","27127","19451","67080"
"CATO",0,01-FEB-14,"245868","","348787","","","","3267","","29964","920033","54322","571246","","21825","81094","","84361","84286","","54322","","75","54322"
"CATO",1,31-JAN-15,"276234","","386345","","","","3445","","30971","986914","60502","600569","","22026","88085","","91530","91473","","60502","","57","60502"
"CATO",2,30-JAN-16,"275713","","394611","","","","3456","","32285","1011091","66842","616480","","22963","95935","","99391","99127","","66842","","264","66842"
"CATY",0,31-DEC-13,"189300","","","","","","","-9685","70435","467303","123143","40389","","1533","","","236081","194170","","113458","","41911","123143"
"CATY",1,31-DEC-14,"173594","","","","","","","","81965","459174","137830","45769","","-10081","","","249892","219795","","137830","","30097","137830"
"CATY",2,31-DEC-15,"202053","","","","","","","","59987","486380","161109","51888","","-10733","","","243172","221096","","161109","","22076","161109"
"CAVM",0,31-DEC-13,"64088","","189314","","","","-879","","1937","303993","-2965","114679","134596","","-9370","","-10249","-11751","-11753","-2965","","1502","-2965"
"CAVM",1,31-DEC-14,"70404","","234619","","","","-15235","","1633","372978","-15295","138359","171690","","-7475","","-22710","-24182","","-15295","","1472","-15295"
"CAVM",2,31-DEC-15,"78926","","268977","","","","-410","","1682","412744","-17060","143767","203778","","-13727","","-14137","-15378","","-17060","","1241","-17060"
"CAW",0,30-NOV-13,"21266","","16525","","","","","","-2030","28827","-6193","12302","742","","-5539","-2682","-5539","-5541","","-6193","55","2","-3511"
"CAW",1,30-NOV-14,"17950","","16948","","","","","","-1707","30579","-8799","13630","459","","-4174","-5996","-4174","-4511","","-8799","2714","336","-2803"
"CAW",2,30-NOV-15,"15098","","14344","","","","","","-1592","24790","-3244","10445","75","","-3098","12","-3098","-4849","","-3244","2269","1751","-3257"
"CB",0,31-DEC-13,"2211000","","6739000","","","","","","480000","19261000","3758000","12522000","","15000","4238000","","4513000","4238000","","3758000","","275000","3758000"
"CB",1,31-DEC-14,"2245000","","5930000","","","","","","634000","19171000","2853000","13241000","","-82000","3487000","","3767000","3487000","","2853000","","280000","2853000"
"CB",2,31-DEC-15,"2270000","","6019000","","","","-33000","","462000","18987000","2834000","12968000","","120000","3296000","","3596000","3296000","","2834000","","300000","2834000"
"CBAK",0,30-SEP-13,"25136","","-16607","","","","1896","","6120","185553","-116029","202160","5368","","-100680","398","-98784","-110307","","-116029","53569","11523","-116427"
"CBAK",1,30-SEP-14,"16862","","9560","","","","740","","16","123014","37776","113454","3981","","-10644","64497","-9905","-26705","","37776","-639","16800","-26722"
"CBAK",2,30-SEP-15,"3465","","950","","","","23012","","5321","13904","15874","12955","1002","","-3649","1831","19363","19363","","15874","132","","14043"
"CBAN",0,31-DEC-13,"33896","","","","","","","-1509","2335","53563","4629","5821","","4485","","","8639","6964","","3120","721","1675","4629"
"CBAN",1,31-DEC-14,"34194","","","","","","","-2689","3268","53887","7532","5113","","1308","","","12486","10800","","4843","786","1686","7532"
"CBAN",2,31-DEC-15,"32987","","","","","","","-2375","3788","53320","8373","4857","","866","","","13873","12161","","5998","738","1713","8373"
"CBAY",0,31-DEC-13,"4871","","","","","","145","","","","-10073","","4525","","-9396","","-9251","-10073","","243994","","822","-10073"
"CBAY",1,31-DEC-14,"8185","","","","","","-7154","","","","-31917","","15823","","-24008","","-31162","-31917","","-31917","","755","-31917"
"CBAY",2,31-DEC-15,"8871","","","","","","11281","","","","-15529","","17026","","-25897","","-14616","-15529","","-15529","","913","-15529"
"CBB",0,31-DEC-13,"231500","","512100","","","","-25200","-10400","-8300","1073400","-54700","561300","","128400","139800","10200","102800","-73200","","-65100","13500","176000","-64900"
"CBB",1,31-DEC-14,"205400","","513800","","","","-17400","-10400","81400","1161500","75600","647700","","127600","176900","-42100","345000","199100","","65200","4200","145900","117700"
"CBB",2,31-DEC-15,"220800","","497200","","","","-19200","-10400","159800","1167800","353700","670600","","141600","128000","62900","553700","450600","","343300","6000","103100","290800"
"CBD",0,31-DEC-12,"4980000","","6743000","","","","","","254000","24916000","565000","18173000","","367000","1396000","","819000","819000","1256765","565000","","","570000"
"CBM",2,31-DEC-15,"57867","","176965","","","","279","","32389","433326","57217","256361","12540","","90985","41","91264","89565","","57217","15573","1699","57176"
"CBMG",0,31-DEC-13,"9220","","-91","","","","-5","","","205","-13797","296","2042","","-11354","-2439","-11359","-11359","","-13797","","","-11359"
"CBMG",1,31-DEC-14,"8190","","322","","","","87","","","564","-15475","242","3146","","-12442","-3119","-12355","-12355","","-15475","1428","","-12355"
"CBMG",2,31-DEC-15,"13777","","625","","","","673","","-729","2505","-19448","1880","7573","","-20849","","-20176","-20176","","-19448","123","","-19448"
"CBMX",0,31-DEC-13,"7970","","2840","","","","2809","-8271","","6367","-3942","3527","1011","254","-6395","","-3586","-3942","","-12213","","356","-3942"
"CBMX",1,31-DEC-14,"11525","","3610","","","","131","","","8042","-8707","4432","725","114","-8754","","-8623","-8707","","-8707","","84","-8707"
"CBMX",2,31-DEC-15,"10519","","4644","","","11182","16","-1058","","10088","-6601","5444","466","100","-6538","","-6522","-6601","","-7659","97","79","-6601"
"CBNK",0,31-DEC-13,"18155","","","","","","","","687","26169","2553","3635","","425","","","3954","3240","","2553","","714","2553"
"CBNK",1,31-DEC-14,"18900","","","","","","","","-1105","26171","-578","2773","","5271","","","-773","-1683","","-578","","910","-578"
"CBNK",2,31-DEC-15,"19186","","","","","","","","1029","28230","2999","2806","","941","","","5297","4028","","2999","","1269","2999"
"CBOE",0,31-DEC-13,"195172","","572050","","","","-2158","-2136","107657","572050","175999","","","34488","285814","","283656","283656","","173863","56576","","175999"
"CBOE",1,31-DEC-14,"197401","","617225","","","","-4104","-1322","119983","617225","189714","","","39913","313801","","309697","309697","","188392","66110","","189714"
"CBOE",2,31-DEC-15,"197769","","634545","","","","4139","-898","119001","634545","205023","","","46274","319928","","324067","324024","","204125","70574","43","205023"
"CBPO",0,31-DEC-13,"46717","","137873","","","","4433","","15540","203357","54602","65484","4223","","86933","","93536","92401","66278","54602","","1135","56772"
"CBPO",1,31-DEC-14,"42837","","163226","","","","6645","","26640","243252","70917","80025","4162","","111159","","126450","122752","63175","70917","5068","3698","79563"
"CBPO",2,31-DEC-15,"51365","","189975","","","","5551","","20993","296458","89043","106483","6024","","132586","","136826","135098","84619","89043","","1727","87731"
"CBPX",0,31-DEC-13,"14953","","28731","","","","-21","","1110","150066","2105","121335","","","13778","","13757","3215","","2105","","10542","2105"
"CBPX",1,31-DEC-14,"33568","","94329","","","","-5644","","10044","424502","15891","330173","","","60761","","55004","25935","","15891","","29069","15778"
"CBPX",2,31-DEC-15,"64837","","108842","","","","-751","","9336","421682","16736","312840","","","44005","","42504","26072","","16736","","16432","15986"
"CBR",0,31-DEC-13,"205615","","223057","","","","841","","6428","877293","-14520","654236","","","519","-6924","1360","-1179","523","-14520","16923","2539","-7607"
"CBR",1,31-DEC-14,"206040","","222666","","","","-1385","","5935","863607","-19604","640941","","192","-9798","-792","-11183","-12822","578","-19604","26232","1639","-18757"
"CBR",2,31-DEC-15,"188415","","204142","","","","-15","","6562","786955","3302","582813","","332","11751","-282","11736","10154","586","3302","3644","1582","3592"
"CBRL",0,02-AUG-13,"625863","","1789946","","","","","","48517","2644630","117265","854684","","","201524","","201524","165782","","117265","","35742","117265"
"CBRL",1,01-AUG-14,"635920","","1810919","","","","","","58721","2683677","132128","872758","","","208406","","208406","190849","","132128","","17557","132128"
"CBRL",2,31-JUL-15,"670851","","1918113","","","","","","74298","2842284","163903","924171","","","254880","","254880","238201","","163903","","16679","163903"
"CBS",0,31-DEC-13,"10670000","","14005000","","","","15000","","878000","14005000","1879000","","","290000","3025000","141000","3040000","2665000","","1879000","20000","375000","1738000"
"CBS",1,31-DEC-14,"10551000","","13806000","","","","-369000","","762000","13806000","2959000","","","281000","2896000","1605000","2879000","2516000","","2959000","78000","363000","1354000"
"CBS",2,31-DEC-15,"10779000","","13886000","","","","137000","","587000","13886000","1413000","","","264000","2417000","10000","2554000","2162000","","1413000","565000","392000","1403000"
"CBSH",0,31-DEC-13,"628668","","","","","","","","123195","1064246","260961","26740","","20353","","","388485","384312","3755","260961","","4173","260961"
"CBSH",1,31-DEC-14,"656342","","","","","","","-4050","121649","1098394","261754","23585","","29531","","","388936","384433","4053","257704","","4503","261754"
"CBSH",2,31-DEC-15,"675903","","","","","","","-9000","116590","1116291","263730","22661","","28727","","","389000","383565","5428","254730","","5435","263730"
"CBT",0,30-SEP-13,"297000","","633000","","","","4000","","60000","3456000","153000","2823000","68000","","268000","-1000","272000","210000","132000","153000","","62000","161000"
"CBT",1,30-SEP-14,"326000","","721000","","","","28000","","92000","3647000","199000","2926000","60000","","335000","2000","363000","308000","122000","199000","","55000","216000"
"CBT",2,30-SEP-15,"282000","","585000","","","","-7000","","-45000","2871000","-334000","2286000","58000","","-317000","2000","-324000","-377000","104000","-334000","562000","53000","-328000"
"CBU",0,31-DEC-13,"207597","","","","","","-87336","","32198","366339","78829","10732","","12461","","","126360","111027","","78829","9189","15333","78829"
"CBU",1,31-DEC-14,"214923","","","","","","","","38337","375240","91353","8191","","11465","","","133291","129690","","91353","7370","3601","91353"
"CBU",2,31-DEC-15,"215542","","","","","","","","40987","382921","91230","6971","","10110","","","136448","132217","","91230","13850","4231","91230"
"CBYL",0,31-DEC-13,"1402","","415","","","","-57","","","415","-5678","","4229","","-5216","","-5273","-5678","","-5678","","405","-5678"
"CBYL",1,31-DEC-14,"3412","","29","","","","-600","","","29","-13359","","8294","","-11677","","-12277","-13359","","-13359","","1082","-13359"
"CBYL",2,31-DEC-15,"4866","","29","","","","-2622","","","29","-24846","","16199","","-21036","","-23658","-24846","","-24846","","1188","-24846"
"CBZ",0,31-DEC-13,"34398","","83832","","","","7896","","16577","677171","85863","593339","","","49434","60484","57330","41956","","85863","","15374","25379"
"CBZ",1,31-DEC-14,"34183","","89679","","","","8196","","20154","719483","29759","629804","","","55496","-655","63692","50568","","29759","","13124","30414"
"CBZ",2,31-DEC-15,"32594","","96478","","","","2850","","22829","750422","34107","653944","","","63884","-896","66734","57832","","34107","","8902","35003"
"CC",0,31-DEC-14,"706000","","1360000","","","","19000","","149000","6432000","400000","5072000","143000","","511000","","550000","550000","4000","400000","","","420000"
"CC",1,31-DEC-15,"965000","","955000","","","","54000","","-98000","5717000","-90000","4762000","97000","","-132000","","-56000","-188000","4000","-90000","25000","132000","-68000"
"CCBG",0,31-DEC-13,"121405","","","","","","","","1925","137263","6045","1431","","3472","","","10955","7970","","6045","","2985","6045"
"CCBG",1,31-DEC-14,"114358","","","","","","","","1654","130757","9260","1099","","1905","","","13395","10914","","9260","","2481","9260"
"CCBG",2,31-DEC-15,"115273","","","","","","","","4459","133749","9116","944","","1594","","","15938","13575","","9116","","2363","9116"
"CCC",0,31-DEC-13,"76958","","180977","","","112088","-1228","","21486","547939","45713","366962","6037","28938","68889","","67661","67199","","45713","155","462","45713"
"CCC",1,31-DEC-14,"80860","","192089","","","117484","-1834","","23138","555103","49370","363014","6406","30470","74605","","72771","72508","","49370","-252","263","49370"
"CCC",2,31-DEC-15,"84810","","191482","","","","-635","","19923","535004","43463","343522","6425","35453","64794","","64159","63386","","43463","","773","43463"
"CCCL",0,31-DEC-13,"6066","","8932","","","","-2783","","-275","154098","-336","145166","","","2866","","83","-611","","-336","","694","-336"
"CCCL",1,31-DEC-14,"6988","","16833","","","","-11350","","2654","167255","-4892","150422","","","9845","","-1505","-2239","","-4892","","734","-4892"
"CCCL",2,31-DEC-15,"5440","","19315","","","","-65482","","3581","156638","-55811","137323","","","13875","","-51607","-52230","","-55811","","623","-55811"
"CCCR",0,31-DEC-13,"3625","","","","","","","-753","1380","14337","7705","","","484","","","10228","9085","","6952","","1143","7705"
"CCCR",1,31-DEC-14,"4918","","","","","","","","-723","3056","-27290","","","25252","","","-27114","-28014","-1147","-27290","","900","-27290"
"CCCR",2,31-DEC-15,"2967","","","","","","","","2495","-11796","-61265","","","43510","","","-58273","-58770","-1078","-61265","","497","-61265"
"CBD",1,31-DEC-13,"4838000","","6402000","","","","","","153000","24522000","592000","18120000","","334000","1230000","","744000","744000","1369000","592000","","","612000"
"CBD",2,31-DEC-14,"4600000","","6375000","","","","","","277000","24650000","662000","18276000","","309000","1466000","","939000","939000","1468000","662000","","","703000"
"CBF",0,31-DEC-13,"235432","","","","","","122","","27370","346722","38844","22052","","14118","","","74343","66214","","38844","777","8129","38844"
"CBF",1,31-DEC-14,"208847","","","","","","","","30691","314589","50918","17451","","-589","","","88880","81609","","50918","","7271","50918"
"CBF",2,31-DEC-15,"190757","","","","","","-1438","","31109","313926","54721","20314","","2346","","","93015","85830","","54721","7494","7185","54721"
"CBFV",0,31-DEC-13,"12938","","","","","","","","1160","21110","4256","1968","","100","","","5684","5416","","4256","420","268","4256"
"CBFV",1,31-DEC-14,"14393","","","","","","","","1609","24659","4292","1775","","","","","6086","5901","","4292","2405","185","4292"
"CBFV",2,31-DEC-15,"22434","","","","","","","","3443","39512","8420","2343","","2005","","","12235","11863","","8420","495","372","8420"
"CBG",0,31-DEC-13,"","","891095","","","","-22931","","187187","7184794","316538","6293699","","190390","616128","26997","644067","508985","40221","316538","98129","135082","321798"
"CBG",1,31-DEC-14,"","","999696","","","","52988","","263759","9049918","484503","8050222","","265101","792254","","889297","777262","41568","484503","","112035","513503"
"CBG",2,31-DEC-15,"","","1139269","","","","10588","","320853","10855810","547132","9716541","","314096","835944","","998610","879730","46418","547132","","118880","558877"
"CBI",0,31-DEC-13,"381128","","1199010","","","","6930","","91270","11094527","454120","9895517","","61111","684508","","691438","603860","162859","454120","95737","87578","477594"
"CBI",1,31-DEC-14,"402835","","1466409","","","","8524","","271417","12974930","543607","11508521","","66506","982608","","991132","907542","138211","543607","39685","83590","568832"
"CBI",2,31-DEC-15,"389646","","1512316","","","","8285","","-81231","12929504","-504415","11417188","","57625","-425117","","-416832","-511192","149600","-504415","1505851","94360","-488726"
"CBIO",0,31-DEC-13,"4086","","523","","","","154","","","523","-9966","","6557","","-10120","","-9966","-9966","","-9966","","","-9966"
"CBIO",1,31-DEC-14,"4055","","1813","","","","896","","","1813","-6613","","5267","","-7509","","-6613","-6613","","-6613","","","-6613"
"CBIO",2,31-DEC-15,"9594","","1750","","","","518","","","1750","-14762","","5958","","-13802","","-13284","-14762","","-14762","","1478","-14762"
"CBK",0,01-FEB-14,"128847","","151031","","","","-191","","-5","435754","8690","284723","","13168","8876","","8685","8685","","8690","140","","8690"
"CBK",1,31-JAN-15,"126377","","147794","","","","-191","","-37902","418584","47126","270790","","11786","9415","","9224","9224","","47126","216","","47126"
"CBK",2,30-JAN-16,"128413","","129478","","","","-115","","37715","383828","-49094","254350","","12048","-11264","","-11379","-11379","","-49094","281","","-49094"
"CBL",0,31-DEC-13,"77693","","757418","","","","6097","-44892","1305","1053625","85204","296207","","278911","330765","-4947","345970","114114","155021","40312","70049","231856","115317"
"CBL",1,31-DEC-14,"82568","","766842","","","","107356","-44892","4499","1060739","219150","293897","","291273","375143","54","394606","154782","143376","174258","17858","239824","252979"
"CBL",2,31-DEC-15,"89075","","771673","","","","55515","-44892","2941","1055018","103371","283345","","299069","277584","","332843","103500","114629","58479","105945","229343","119015"
"CBLI",0,31-DEC-13,"12039","","8488","","","","2903","","","8488","-17263","","19526","","-23077","","-20129","-20129","11104","-17263","","","-17263"
"CBLI",1,31-DEC-14,"8470","","3702","","","","15832","","","3702","1629","","9654","","-14422","","321","321","3393","1629","","","1629"
"CBLI",2,31-DEC-15,"6356","","2708","","","","-1792","","","2708","-12638","","7143","","-10791","","-12683","-12683","5150","-12638","","","-12638"
"CBM",0,31-DEC-13,"47568","","102904","","","","4562","","14732","318176","25915","215272","10387","","49629","-4360","47249","45007","","25915","","2242","30275"
"CBM",1,31-DEC-14,"52489","","123798","","","","-5931","","-12627","374613","57303","250815","13075","","52298","-830","47680","45506","","57303","","2174","58133"
"CAI",0,31-DEC-13,"43885","","212405","","","","6166","","7057","212405","63926","","","67109","108767","","107577","71577","594","63926","","36000","63926"
"CAI",1,31-DEC-14,"52581","","227589","","","","5749","","7191","227589","60274","","","77976","103554","","102781","67576","789","60274","","35205","60274"
"CAI",2,31-DEC-15,"57811","","239495","","","","-836","","4252","249667","26838","10172","","113590","67440","","67258","31224","923","26838","","36034","26838"
"CAJ",0,31-DEC-13,"10987000","","17111000","","","","104000","","1028000","35501000","2193000","18391000","2914000","","3209000","","3312000","3307000","1489000","2193000","","5000","2193000"
"CAJ",1,31-DEC-14,"9917000","","15526000","","","","169000","","984000","31088000","2125000","15562000","2577000","","3032000","","3200000","3196000","1356000","2125000","","4000","2125000"
"CAJ",2,31-DEC-15,"10397000","","16080000","","","","-59000","","965000","31591000","1831000","15511000","2731000","","2953000","","2893000","2888000","1813000","1831000","","5000","1831000"
"CAKE",0,31-DEC-13,"1170368","","1422225","","","","","","42094","1877910","114356","455685","","78558","160954","","160954","156450","","114356","12345","4504","114356"
"CAKE",1,30-DEC-14,"1243700","","1486318","","","","","","37268","1976624","101276","490306","","82835","144731","","144731","138544","","101276","15052","6187","101276"
"CAKE",2,29-DEC-15,"1322860","","1596578","","","","","","42829","2100609","116523","504031","","85563","165246","","165246","159352","","116523","22909","5894","116523"
"CAL",0,01-FEB-14,"909749","","1014288","","","","377","","23758","2513113","38073","1498825","","","98617","-16086","98994","77740","663","38073","5922","21254","53982"
"CAL",1,31-JAN-15,"910682","","1040100","","","","4638","","27184","2571709","82850","1531609","","","125934","","130572","110127","712","82850","3484","20445","82943"
